what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310027856206
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310027874474
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310027927041
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310027937964
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310028003361
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028010671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028017808
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310028022291
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310028022541
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310028039487
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310028044282
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310028048125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028057324
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028067664
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310028071115
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310028080331
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310028127296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028132154
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028133122
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310028417726
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310028420070
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310028967722
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310029643751
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310029647736
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310029647798
